Ngày,T?ng,13,12,11,10,9,8,7,6,5,4,3,2,1,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,Ngày
/,(l?n),/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
Tháng,,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Tháng
37,19,,,,,,1,,,1,1,1,,1,,1,,1,,,,,1,,1,1,1,,,,,1,,,,,1,,1,,,1,,,,,,,1,,1,1,1,,,,,,,,,37
38,24,,,,1,,3,,1,1,,,,,,,,1,,,,1,,2,1,,,,,,,,,,1,,,,,,1,,1,1,,1,,1,1,,,1,1,1,,1,1,,,,1,38
39,26,1,1,,,1,,2,1,1,,,,1,,,,,,1,,,,,,,,,2,,,1,1,,1,,3,,,,,,,1,,,,,,1,1,,1,1,2,,,1,,1,,39
40,23,,2,,,1,1,1,,,,,,,,1,,,,,,,,1,2,,,,,,,,,1,,2,,,,1,,,1,2,,1,,1,,1,1,,1,,,,,1,,,1,40
41,26,,,,1,1,,1,,1,,,,2,,1,1,1,1,,,2,,,1,1,1,,1,,,1,,,1,,,,,,,,,1,1,,,1,,1,1,,2,,,,,,1,,,41
42,25,2,,1,,1,1,2,,,1,,,,,1,,1,,,,,,,,,,2,1,,,,2,,,1,,,1,,1,,,,,2,1,,,,,,1,,1,,1,,,1,,42
43,28,,,,1,,1,1,1,,1,,1,1,,,,,,1,2,1,1,1,1,,,,1,2,,,,,,,,,,,1,1,,,,,,3,,1,,1,1,,,1,1,,1,,,43
44,26,,,,,,,,1,,,,,,,1,1,1,1,,1,1,,,1,2,1,,1,1,,,,,,1,1,1,1,,,1,,1,1,1,,,,,,1,,,,,,,2,2,,44
45,20,,,1,,,,,,,,,,,,2,,,,,,2,,1,,,1,,1,1,,,1,,,,1,,,,1,,1,,1,1,1,,,1,,1,,,,1,,1,,,,45
46,20,1,,1,,1,,1,,,2,,,,,1,2,,,,,,,,1,,1,1,1,,,,,1,1,1,,,,1,1,,,,1,,,,,,,,,,,1,,,,,,46
47,33,,,,2,1,1,1,1,,1,2,1,,,,,1,1,1,,1,,1,,1,1,,1,,2,1,,,,,,1,,,,,,1,1,,1,,,2,1,1,,,1,1,,,,2,,47
48,28,,,1,,1,,,,,1,,1,,,,,1,1,,,,1,1,1,,,,1,2,,2,1,2,,1,,1,,,,1,1,,,,1,1,1,,,,,1,1,,,1,,1,,48
